Format:
Edge; Number of graphs this edge appears in
TotalBurstSizeLate -> MaximumCodeBurstLate; 10
NumberCodeBurstsLate -> MaximumCodeBurstLate; 10
NumberCodeBurstsLate -> NumberConsecutiveChangesLate; 10
NumberOfChangesLate -> NumberOfChanges; 10
NumberOfChangesLate -> ChurnTotal; 10
NumberOfChangesLate -> PeopleTotal; 10
NumberOfChangesLate -> pre; 10
NumberOfChangesEarly -> NumberOfChanges; 10
NumberOfChangesEarly -> NumberOfChangesLate; 10
NumberOfChangesEarly -> ChurnTotal; 10
NumberOfChangesEarly -> PeopleTotal; 10
MaximumCodeBurstEarly -> MaxChurnInBurst; 10
MaximumCodeBurstEarly -> ChurnTotal; 10
MaximumCodeBurstEarly -> NumberConsecutiveChanges; 10
TimeFirstBurst -> NumberOfConsecutiveChangesEarly; 10
TotalChurnInBurst -> MaxChurnInBurst; 10
ChurnTotal -> TotalChurnInBurst; 10
ChurnTotal -> TLOC; 10
NumberOfConsecutiveChangesEarly -> NumberOfChangesEarly; 10
NumberOfConsecutiveChangesEarly -> NumberConsecutiveChanges; 10
NumberConsecutiveChangesLate -> NumberOfChangesLate; 10
NumberConsecutiveChangesLate -> NumberConsecutiveChanges; 10
NumberConsecutiveChangesLate -> TLOC; 10
TotalBurstSizeEarly -> NumberOfChangesLate; 10
TotalBurstSizeEarly -> NumberOfChangesEarly; 10
TotalBurstSizeEarly -> pre; 10
TotalBurstSize -> MaxPeopleInBurst; 10
TimeLastBurst -> TotalChurnInBurst; 10
TimeLastBurst -> NumberConsecutiveChangesLate; 10
TLOC -> NumberOfDefects; 10
MaximumCodeBurstEarly -> TimeFirstBurst; 8
MaximumCodeBurst -> MaxPeopleInBurst; 8
NumberConsecutiveChanges -> NumberOfDefects; 8
MaximumCodeBurstEarly -> TimeLastBurst; 7
TotalPeopleInBurst -> TotalBurstSize; 7
NumberCodeBurstsLate -> MaximumCodeBurstEarly; 7
NumberCodeBurstsLate -> TimeLastBurst; 7
MaximumCodeBurstEarly -> NumberOfConsecutiveChangesEarly; 7
NumberCodeBurstsEarly -> NumberOfConsecutiveChangesEarly; 7
NumberOfConsecutiveChangesEarly -> NumberConsecutiveChangesLate; 7
NumberOfChangesEarly -> pre; 6
MaximumCodeBurst -> NumberCodeBursts; 6
TimeMaxBurst -> TimeLastBurst; 6
NumberCodeBurstsLate -> TotalBurstSizeLate; 6
NumberCodeBurstsEarly -> TotalBurstSizeEarly; 6
NumberCodeBursts -> NumberOfChangesEarly; 6
NumberCodeBurstsEarly -> TotalPeopleInBurst; 6
TimeFirstBurst -> TimeMaxBurst; 6
TotalBurstSizeEarly -> TotalPeopleInBurst; 6
MaxPeopleInBurst -> NumberCodeBursts; 5
MaximumCodeBurst -> TotalBurstSize; 5
TotalBurstSize -> NumberCodeBursts; 5
TotalPeopleInBurst -> MaximumCodeBurst; 5
TotalBurstSize -> MaximumCodeBurst; 5
NumberCodeBursts -> MaxPeopleInBurst; 5
NumberCodeBursts -> TotalBurstSize; 5
TotalBurstSizeLate -> NumberCodeBurstsLate; 4
MaximumCodeBurstEarly -> TimeMaxBurst; 4
MaximumCodeBurst -> TotalPeopleInBurst; 4
TotalBurstSizeEarly -> NumberCodeBurstsEarly; 4
TimeMaxBurst -> TimeFirstBurst; 4
NumberConsecutiveChanges -> NumberOfChangesEarly; 4
