Format:
Edge; Number of graphs this edge appears in
NumberOfChangesLate -> MaximumCodeBurstLate; 10
NumberOfChangesLate -> NumberOfChanges; 10
NumberOfChangesLate -> ChurnTotal; 10
NumberOfChangesLate -> PeopleTotal; 10
NumberOfChangesLate -> pre; 10
NumberOfChangesLate -> NumberOfDefects; 10
NumberOfChangesLate -> TLOC; 10
NumberOfChangesEarly -> NumberOfChanges; 10
NumberOfChangesEarly -> ChurnTotal; 10
NumberOfChangesEarly -> PeopleTotal; 10
NumberOfChangesEarly -> pre; 10
TotalChurnInBurst -> MaxChurnInBurst; 10
ChurnTotal -> TotalChurnInBurst; 10
ChurnTotal -> PeopleTotal; 10
ChurnTotal -> TLOC; 10
NumberConsecutiveChangesLate -> MaximumCodeBurstLate; 10
NumberConsecutiveChanges -> ChurnTotal; 10
BurstSize -> TotalChurnInBurst; 10
MaxPeopleInBurst -> TotalBurstSize; 9
NumberOfConsecutiveChangesEarly -> NumberOfChangesEarly; 9
PeopleTotal -> pre; 9
BurstSize -> MaximumCodeBurstLate; 9
NumberCodeBurstsLate -> TimeLastBurst; 8
NumberOfChangesEarly -> MaximumCodeBurstEarly; 8
NumberOfConsecutiveChangesEarly -> MaximumCodeBurstEarly; 8
NumberConsecutiveChangesLate -> NumberOfChangesLate; 8
TimeMaxBurst -> TimeLastBurst; 8
PeopleTotal -> TLOC; 8
BurstSize -> MaximumCodeBurstEarly; 8
NumberCodeBursts -> TotalBurstSize; 8
MaxPeopleInBurst -> NumberCodeBursts; 7
NumberOfChangesEarly -> GapSize; 7
MaximumCodeBurstEarly -> MaxChurnInBurst; 7
NumberOfConsecutiveChangesEarly -> NumberConsecutiveChangesLate; 7
NumberOfConsecutiveChangesEarly -> GapSize; 7
NumberConsecutiveChangesLate -> GapSize; 7
TimeMaxBurst -> TimeFirstBurst; 7
MaximumCodeBurstEarly -> TimeLastBurst; 7
NumberCodeBursts -> MaximumCodeBurst; 7
MaxPeopleInBurst -> MaximumCodeBurst; 6
NumberOfChangesEarly -> NumberOfChangesLate; 6
MaximumCodeBurstEarly -> TimeFirstBurst; 6
NumberCodeBurstsEarly -> TotalPeopleInBurst; 6
NumberOfConsecutiveChangesEarly -> NumberOfDefects; 6
TotalBurstSizeEarly -> TotalPeopleInBurst; 6
TotalBurstSizeEarly -> MaxPeopleInBurst; 6
TimeLastBurst -> TotalChurnInBurst; 6
BurstSize -> TimeMaxBurst; 6
NumberConsecutiveChangesLate -> NumberConsecutiveChanges; 6
TimeMaxBurst -> NumberOfConsecutiveChangesEarly; 6
TimeMaxBurst -> NumberConsecutiveChangesLate; 6
TotalBurstSizeEarly -> NumberCodeBurstsEarly; 6
NumberCodeBurstsLate -> TotalBurstSizeLate; 5
NumberCodeBurstsLate -> MaxChurnInBurst; 5
NumberCodeBurstsEarly -> MaxPeopleInBurst; 5
MaximumCodeBurst -> TotalBurstSize; 5
TotalBurstSizeEarly -> NumberOfChangesEarly; 5
TimeMaxBurst -> NumberOfChangesEarly; 5
NumberConsecutiveChanges -> NumberOfConsecutiveChangesEarly; 5
GapSize -> NumberOfChangesLate; 5
MaxPeopleInBurst -> TotalPeopleInBurst; 5
NumberCodeBurstsEarly -> NumberCodeBursts; 5
TotalBurstSizeEarly -> NumberCodeBursts; 5
NumberCodeBurstsLate -> BurstSize; 5
NumberOfConsecutiveChangesEarly -> NumberConsecutiveChanges; 5
TotalBurstSizeEarly -> NumberOfConsecutiveChangesEarly; 5
TotalBurstSize -> MaximumCodeBurst; 5
TotalBurstSizeLate -> NumberCodeBurstsLate; 5
TotalBurstSizeEarly -> TotalBurstSizeLate; 5
TotalPeopleInBurst -> MaxPeopleInBurst; 4
TotalPeopleInBurst -> TotalBurstSize; 4
NumberCodeBurstsEarly -> TotalBurstSizeEarly; 4
NumberConsecutiveChangesLate -> TimeMaxBurst; 4
