Format:
Edge; Number of graphs this edge appears in
NumberOfChanges -> NumberOfChangesEarly; 100
NumberCodeBurstsLate -> TotalBurstSizeLate; 100
NumberCodeBurstsLate -> NumberOfChangesLate; 100
NumberCodeBurstsLate -> NumberCodeBurstsEarly; 100
NumberCodeBurstsLate -> TotalBurstSizeEarly; 100
NumberOfChangesEarly -> NumberOfConsecutiveChangesEarly; 100
MaxChurnInBurst -> TotalChurnInBurst; 100
MaximumCodeBurstEarly -> MaximumCodeBurst; 100
NumberCodeBurstsEarly -> MaximumCodeBurstEarly; 100
TimeFirstBurst -> NumberCodeBursts; 100
MaximumCodeBurst -> NumberConsecutiveChangesLate; 100
MaximumCodeBurst -> TotalBurstSize; 100
NumberConsecutiveChangesLate -> TotalBurstSizeLate; 100
NumberConsecutiveChangesLate -> NumberOfChangesLate; 100
TotalBurstSize -> TotalBurstSizeEarly; 100
TotalBurstSize -> NumberConsecutiveChanges; 100
NumberConsecutiveChanges -> NumberOfChanges; 100
NumberConsecutiveChanges -> NumberOfConsecutiveChangesEarly; 100
TimeLastBurst -> NumberConsecutiveChangesLate; 100
TimeLastBurst -> NumberCodeBursts; 100
NumberCodeBursts -> NumberCodeBurstsEarly; 100
NumberCodeBursts -> TotalBurstSize; 100
TimeLastBurst -> TotalChurnInBurst; 97
PeopleTotal -> ChurnTotal; 94
pre -> NumberOfDefects; 94
NumberOfConsecutiveChangesEarly -> pre; 88
TimeLastBurst -> NumberCodeBurstsLate; 86
MaximumCodeBurstLate -> NumberCodeBurstsEarly; 73
MaximumCodeBurstLate -> NumberCodeBurstsLate; 72
TimeMaxBurst -> TimeFirstBurst; 71
TimeMaxBurst -> TimeLastBurst; 58
MaximumCodeBurstLate -> TotalBurstSizeEarly; 56
TotalPeopleInBurst -> MaxPeopleInBurst; 53
NumberCodeBursts -> MaxPeopleInBurst; 53
TotalPeopleInBurst -> PeopleTotal; 51
PeopleTotal -> TotalPeopleInBurst; 49
MaxPeopleInBurst -> TotalPeopleInBurst; 47
NumberCodeBursts -> TotalPeopleInBurst; 47
TimeLastBurst -> TimeMaxBurst; 42
NumberOfDefects -> PeopleTotal; 33
TimeFirstBurst -> TimeMaxBurst; 29
NumberCodeBurstsLate -> MaximumCodeBurstLate; 28
NumberCodeBurstsLate -> TimeLastBurst; 14
MaximumCodeBurst -> pre; 12
pre -> PeopleTotal; 6
PeopleTotal -> NumberOfDefects; 6
ChurnTotal -> PeopleTotal; 6
NumberOfChanges -> TotalChurnInBurst; 3
