Format:
Edge; Number of graphs this edge appears in
NumberOfChanges -> NumberOfDefects; 10
NumberOfChanges -> MaximumCodeBurstLate; 10
TotalBurstSizeEarly -> MaximumCodeBurstLate; 10
TotalBurstSizeLate -> TimeLastBurst; 10
TotalBurstSizeLate -> MaximumCodeBurstLate; 10
TimeLastBurst -> NumberOfChanges; 10
TimeFirstBurst -> TimeLastBurst; 10
TotalChurnInBurst -> NumberOfDefects; 10
TotalChurnInBurst -> NumberOfChanges; 10
TotalChurnInBurst -> TimeLastBurst; 10
PeopleTotal -> NumberOfDefects; 10
PeopleTotal -> NumberOfChanges; 10
TotalBurstSizeLate -> PeopleTotal; 9
TimeFirstBurst -> PeopleTotal; 8
TotalBurstSizeLate -> TotalChurnInBurst; 7
TimeFirstBurst -> TotalBurstSizeEarly; 7
TimeFirstBurst -> TotalChurnInBurst; 7
TotalChurnInBurst -> PeopleTotal; 7
TotalBurstSizeLate -> TimeFirstBurst; 6
TotalBurstSizeEarly -> TotalChurnInBurst; 5
TotalBurstSizeLate -> TotalBurstSizeEarly; 5
TotalChurnInBurst -> TotalBurstSizeEarly; 5
TotalBurstSizeEarly -> TotalBurstSizeLate; 5
TimeFirstBurst -> TotalBurstSizeLate; 4
PeopleTotal -> TotalChurnInBurst; 3
TotalBurstSizeEarly -> TimeFirstBurst; 3
TotalChurnInBurst -> TimeFirstBurst; 3
TotalChurnInBurst -> TotalBurstSizeLate; 3
PeopleTotal -> TimeFirstBurst; 2
PeopleTotal -> TotalBurstSizeLate; 1
