Format:
Edge; Number of graphs this edge appears in
MaximumCodeBurst -> PeopleTotal; 10
MaxChurnInBurst -> MaximumCodeBurst; 8
TimeMaxBurst -> NumberOfChangesLate; 7
NumberOfChangesLate -> PeopleTotal; 6
MaximumCodeBurst -> NumberOfDefects; 6
PeopleTotal -> NumberOfDefects; 6
MaxChurnInBurst -> TimeMaxBurst; 5
NumberOfDefects -> PeopleTotal; 4
PeopleTotal -> NumberOfChangesLate; 4
NumberOfChangesLate -> TimeMaxBurst; 3
MaxChurnInBurst -> NumberOfDefects; 3
TimeMaxBurst -> MaxChurnInBurst; 3
MaximumCodeBurst -> TimeMaxBurst; 2
MaximumCodeBurst -> MaxChurnInBurst; 2
NumberOfDefects -> MaxChurnInBurst; 1
NumberOfChangesLate -> MaxChurnInBurst; 1
MaxChurnInBurst -> NumberOfChangesLate; 1
