Format:
Edge; Number of graphs this edge appears in
NumberOfChangesEarly -> MaximumCodeBurst; 10
NumberOfChangesEarly -> NumberOfDefects; 10
NumberOfChangesEarly -> TotalBurstSizeLate; 10
NumberOfChangesEarly -> TimeLastBurst; 10
NumberOfChangesEarly -> TimeFirstBurst; 10
BurstSize -> MaximumCodeBurst; 10
BurstSize -> TimeLastBurst; 10
BurstSize -> TimeFirstBurst; 10
TotalBurstSizeLate -> MaximumCodeBurstLate; 10
TimeLastBurst -> MaximumCodeBurst; 10
TimeLastBurst -> TotalBurstSizeLate; 10
TimeFirstBurst -> NumberOfDefects; 10
TimeFirstBurst -> TotalBurstSizeLate; 10
TimeFirstBurst -> TimeLastBurst; 10
PeopleTotal -> NumberOfDefects; 10
PeopleTotal -> TimeFirstBurst; 10
BurstSize -> MaximumCodeBurstLate; 6
PeopleTotal -> MaximumCodeBurstLate; 6
NumberOfChangesEarly -> PeopleTotal; 5
PeopleTotal -> NumberOfChangesEarly; 5
NumberOfChangesEarly -> MaximumCodeBurstLate; 4
TimeFirstBurst -> MaximumCodeBurstLate; 4
