Format:
Edge; Number of graphs this edge appears in
TotalBurstSizeLate -> MaximumCodeBurstLate; 10
NumberCodeBurstsLate -> MaximumCodeBurstLate; 10
NumberCodeBurstsLate -> MaxChurnInBurst; 10
NumberCodeBurstsLate -> NumberConsecutiveChangesLate; 10
NumberOfChangesLate -> PeopleTotal; 10
NumberOfChangesLate -> pre; 10
NumberOfChangesEarly -> PeopleTotal; 10
MaximumCodeBurstEarly -> MaxChurnInBurst; 10
MaximumCodeBurstEarly -> NumberConsecutiveChanges; 10
TimeFirstBurst -> MaximumCodeBurstEarly; 10
TimeFirstBurst -> TimeMaxBurst; 10
TotalChurnInBurst -> MaxChurnInBurst; 10
ChurnTotal -> TLOC; 10
NumberOfConsecutiveChangesEarly -> NumberConsecutiveChanges; 10
NumberConsecutiveChangesLate -> NumberConsecutiveChanges; 10
TimeMaxBurst -> TimeLastBurst; 10
TimeLastBurst -> NumberConsecutiveChangesLate; 10
NumberCodeBursts -> NumberOfDefects; 10
pre -> NumberOfDefects; 10
pre -> TLOC; 10
TLOC -> NumberOfDefects; 10
NumberCodeBurstsLate -> NumberOfChangesLate; 9
NumberOfChangesLate -> NumberOfChanges; 9
NumberOfChangesLate -> ChurnTotal; 9
NumberOfChangesEarly -> NumberOfChanges; 9
NumberOfChangesEarly -> ChurnTotal; 9
TimeFirstBurst -> NumberOfConsecutiveChangesEarly; 9
TotalChurnInBurst -> ChurnTotal; 9
NumberOfConsecutiveChangesEarly -> NumberOfChangesEarly; 9
NumberOfConsecutiveChangesEarly -> pre; 9
TotalBurstSizeEarly -> NumberOfChangesEarly; 9
TotalBurstSizeEarly -> NumberOfConsecutiveChangesEarly; 9
NumberCodeBursts -> TotalChurnInBurst; 9
MaxPeopleInBurst -> MaximumCodeBurst; 8
NumberOfConsecutiveChangesEarly -> TotalChurnInBurst; 8
NumberConsecutiveChangesLate -> TotalChurnInBurst; 8
TotalBurstSizeEarly -> TotalBurstSizeLate; 8
TotalBurstSizeEarly -> TimeFirstBurst; 8
TimeLastBurst -> MaximumCodeBurstEarly; 8
TotalBurstSize -> NumberCodeBursts; 8
NumberCodeBurstsEarly -> TotalBurstSize; 7
MaximumCodeBurst -> TotalPeopleInBurst; 7
NumberOfConsecutiveChangesEarly -> NumberConsecutiveChangesLate; 7
NumberConsecutiveChangesLate -> NumberOfChangesLate; 7
TotalBurstSizeEarly -> TotalBurstSize; 7
TotalBurstSize -> TotalPeopleInBurst; 7
MaximumCodeBurstEarly -> NumberOfConsecutiveChangesEarly; 7
NumberCodeBurstsLate -> MaximumCodeBurstEarly; 6
NumberCodeBurstsLate -> TimeLastBurst; 6
TotalBurstSizeEarly -> NumberCodeBurstsLate; 6
TotalBurstSize -> MaxPeopleInBurst; 6
TotalBurstSize -> MaximumCodeBurst; 6
NumberCodeBursts -> TimeMaxBurst; 6
MaximumCodeBurst -> NumberCodeBursts; 6
NumberCodeBurstsEarly -> TotalBurstSizeEarly; 6
TotalBurstSizeLate -> NumberCodeBurstsLate; 6
NumberCodeBurstsLate -> TimeFirstBurst; 5
NumberOfChangesEarly -> NumberOfChangesLate; 5
NumberCodeBurstsEarly -> TotalBurstSizeLate; 5
NumberCodeBursts -> MaxPeopleInBurst; 5
NumberCodeBursts -> TimeLastBurst; 5
MaxPeopleInBurst -> NumberCodeBursts; 5
