Format:
Edge; Number of graphs this edge appears in
NumberOfChangesLate -> MaximumCodeBurstLate; 10
NumberOfChangesLate -> NumberOfChanges; 10
NumberOfChangesLate -> ChurnTotal; 10
NumberOfChangesLate -> PeopleTotal; 10
NumberOfChangesLate -> pre; 10
NumberOfChangesEarly -> MaximumCodeBurstEarly; 10
NumberOfChangesEarly -> ChurnTotal; 10
NumberOfChangesEarly -> PeopleTotal; 10
NumberOfChangesEarly -> TLOC; 10
ChurnTotal -> TotalChurnInBurst; 10
ChurnTotal -> PeopleTotal; 10
ChurnTotal -> NumberOfDefects; 10
ChurnTotal -> TLOC; 10
NumberOfConsecutiveChangesEarly -> MaximumCodeBurstEarly; 10
NumberConsecutiveChangesLate -> MaximumCodeBurstLate; 10
TimeMaxBurst -> TimeFirstBurst; 10
TimeMaxBurst -> TimeLastBurst; 10
NumberConsecutiveChanges -> ChurnTotal; 10
BurstSize -> MaximumCodeBurstLate; 10
BurstSize -> MaximumCodeBurstEarly; 10
NumberCodeBurstsLate -> TimeLastBurst; 9
NumberOfChangesEarly -> NumberOfChanges; 9
NumberOfChangesEarly -> NumberOfConsecutiveChangesEarly; 9
NumberOfConsecutiveChangesEarly -> NumberConsecutiveChanges; 9
NumberConsecutiveChangesLate -> TimeMaxBurst; 9
pre -> NumberOfDefects; 9
TotalChurnInBurst -> MaxChurnInBurst; 9
NumberCodeBurstsEarly -> TotalPeopleInBurst; 8
NumberOfConsecutiveChangesEarly -> TimeMaxBurst; 8
NumberConsecutiveChangesLate -> NumberConsecutiveChanges; 8
TotalBurstSizeEarly -> TotalPeopleInBurst; 8
TotalBurstSize -> MaximumCodeBurst; 8
MaxPeopleInBurst -> MaximumCodeBurst; 7
MaxPeopleInBurst -> NumberCodeBursts; 7
MaximumCodeBurstEarly -> TimeLastBurst; 7
MaximumCodeBurst -> TimeMaxBurst; 7
NumberOfConsecutiveChangesEarly -> NumberConsecutiveChangesLate; 7
TotalBurstSizeEarly -> MaxPeopleInBurst; 7
TotalBurstSizeEarly -> NumberCodeBurstsEarly; 7
TotalBurstSize -> NumberCodeBursts; 7
NumberCodeBursts -> MaximumCodeBurst; 7
NumberOfChangesEarly -> NumberOfChangesLate; 6
NumberOfChangesEarly -> GapSize; 6
NumberCodeBurstsEarly -> TotalBurstSize; 6
NumberOfConsecutiveChangesEarly -> GapSize; 6
NumberConsecutiveChangesLate -> NumberOfChangesLate; 6
TotalBurstSizeEarly -> TotalBurstSize; 6
NumberConsecutiveChanges -> MaxChurnInBurst; 6
TotalPeopleInBurst -> NumberCodeBursts; 6
NumberOfChangesLate -> NumberConsecutiveChanges; 6
NumberOfChangesEarly -> pre; 6
NumberOfChangesEarly -> NumberOfDefects; 6
MaximumCodeBurstEarly -> TimeFirstBurst; 6
NumberConsecutiveChanges -> TimeFirstBurst; 6
GapSize -> NumberConsecutiveChangesLate; 6
NumberCodeBurstsLate -> TotalBurstSizeLate; 5
NumberCodeBurstsEarly -> MaxPeopleInBurst; 5
TotalBurstSize -> TotalPeopleInBurst; 5
TotalBurstSize -> MaxPeopleInBurst; 5
GapSize -> NumberOfChangesLate; 5
TotalBurstSizeLate -> NumberCodeBurstsLate; 5
NumberOfChangesEarly -> TotalBurstSizeEarly; 5
NumberConsecutiveChanges -> TotalBurstSizeEarly; 5
pre -> TLOC; 5
BurstSize -> TotalBurstSizeEarly; 5
MaxPeopleInBurst -> TotalBurstSize; 5
BurstSize -> MaxChurnInBurst; 5
NumberOfChangesEarly -> TimeFirstBurst; 4
NumberOfConsecutiveChangesEarly -> pre; 4
NumberConsecutiveChangesLate -> GapSize; 4
TLOC -> pre; 4
TLOC -> NumberOfDefects; 4
BurstSize -> TimeFirstBurst; 4
BurstSize -> TotalChurnInBurst; 4
TotalBurstSizeLate -> NumberCodeBurstsEarly; 4
