Format:
Edge; Number of graphs this edge appears in
TLOC -> NumberOfDefects; 10
NumberOfChanges -> pre; 10
NumberOfChanges -> MaximumCodeBurstLate; 10
MaxChurnInBurst -> TLOC; 10
BurstSize -> TotalBurstSizeLate; 10
BurstSize -> TimeFirstBurst; 10
BurstSize -> MaximumCodeBurstLate; 10
TotalBurstSizeLate -> MaximumCodeBurstLate; 10
pre -> TLOC; 10
pre -> NumberOfDefects; 10
TimeFirstBurst -> NumberOfChanges; 10
TimeFirstBurst -> MaxChurnInBurst; 10
TimeFirstBurst -> pre; 10
NumberConsecutiveChanges -> TLOC; 10
NumberConsecutiveChanges -> NumberOfDefects; 10
NumberConsecutiveChanges -> NumberOfChanges; 10
NumberConsecutiveChanges -> MaxChurnInBurst; 10
NumberConsecutiveChanges -> TotalBurstSizeLate; 10
NumberConsecutiveChanges -> pre; 10
NumberConsecutiveChanges -> TimeFirstBurst; 10
BurstSize -> NumberCodeBursts; 6
TimeFirstBurst -> TotalBurstSizeLate; 6
NumberConsecutiveChanges -> NumberCodeBursts; 6
MaxChurnInBurst -> NumberOfChanges; 5
TotalBurstSizeLate -> MaxChurnInBurst; 5
NumberOfChanges -> MaxChurnInBurst; 5
TotalBurstSizeLate -> NumberOfChanges; 5
TotalBurstSizeLate -> TimeFirstBurst; 4
TimeFirstBurst -> NumberCodeBursts; 4
MaxChurnInBurst -> NumberCodeBursts; 4
NumberCodeBursts -> TimeFirstBurst; 2
