Format:
Edge; Number of graphs this edge appears in
NumberOfDefects -> NumberOfChanges; 10
NumberOfDefects -> pre; 10
NumberOfChanges -> PeopleTotal; 10
MaximumCodeBurstEarly -> NumberCodeBurstsEarly; 10
MaximumCodeBurstEarly -> pre; 10
MaximumCodeBurstEarly -> PeopleTotal; 10
pre -> NumberOfChanges; 10
MaximumCodeBurstLate -> NumberCodeBursts; 10
PeopleTotal -> NumberCodeBurstsEarly; 10
TotalPeopleInBurst -> NumberOfChanges; 9
TotalPeopleInBurst -> NumberCodeBurstsEarly; 9
NumberCodeBursts -> PeopleTotal; 8
MaximumCodeBurstEarly -> NumberCodeBursts; 8
TotalPeopleInBurst -> NumberCodeBursts; 8
MaxChurnInBurst -> MaximumCodeBurstEarly; 8
MaxChurnInBurst -> NumberOfDefects; 7
MaxChurnInBurst -> MaximumCodeBurstLate; 7
TotalPeopleInBurst -> pre; 6
MaximumCodeBurstLate -> TotalPeopleInBurst; 6
MaxChurnInBurst -> TotalPeopleInBurst; 5
NumberCodeBursts -> pre; 4
TotalPeopleInBurst -> MaximumCodeBurstLate; 4
MaximumCodeBurstLate -> MaxChurnInBurst; 3
NumberOfDefects -> MaxChurnInBurst; 3
TotalPeopleInBurst -> MaxChurnInBurst; 3
MaximumCodeBurstEarly -> MaxChurnInBurst; 2
NumberCodeBursts -> TotalPeopleInBurst; 2
MaximumCodeBurstEarly -> TotalPeopleInBurst; 2
TotalPeopleInBurst -> PeopleTotal; 2
NumberCodeBursts -> NumberOfChanges; 1
NumberCodeBursts -> MaxChurnInBurst; 1
MaxChurnInBurst -> NumberCodeBursts; 1
NumberCodeBursts -> NumberCodeBurstsEarly; 1
