TotalPeopleInBurst MaximumCodeBurstLate NumberOfChanges MaxPeopleInBurst TotalBurstSizeLate NumberCodeBurstsLate NumberOfChangesLate NumberOfChangesEarly MaxChurnInBurst MaximumCodeBurstEarly NumberCodeBurstsEarly TimeFirstBurst TotalChurnInBurst ChurnTotal MaximumCodeBurst NumberOfConsecutiveChangesEarly NumberConsecutiveChangesLate TotalBurstSizeEarly TotalBurstSize TimeMaxBurst NumberConsecutiveChanges TimeLastBurst NumberCodeBursts PeopleTotal pre NumberOfDefects TLOC GapSize BurstSize
1 0 1 1 1 1 1 0 0 0 0 50 0 0 1 0 0 0 1 50 0 50 1 1 0 0 18.0 4 1
1 0 1 1 1 1 1 0 0 0 0 54 0 0 1 0 0 0 1 54 0 54 1 1 5 0 122.0 4 1
1 0 1 1 1 1 1 0 0 0 0 57 0 0 1 0 0 0 1 57 0 57 1 1 1 0 54.0 4 1
3 0 3 2 0 0 0 3 30 2 2 4 35 35 2 1 0 3 3 4 1 18 2 3 0 0 30.0 4 1
2 0 5 1 1 1 1 4 53 2 2 6 107 107 2 2 0 4 5 6 2 54 3 2 0 0 22.0 4 1
2 2 3 2 3 2 3 0 2 0 0 50 4 4 2 0 1 0 3 50 1 61 2 2 1 1 96.0 4 1
2 0 7 2 0 0 2 5 663 3 3 1 1171 1171 3 2 2 7 7 48 4 48 3 2 1 0 89.0 4 1
3 0 14 3 4 1 4 10 1050 4 4 6 1725 1725 4 6 3 10 14 27 9 51 5 3 0 0 513.0 4 1
2 0 2 2 0 0 0 2 5 0 1 4 5 5 2 1 0 2 2 4 1 4 1 2 0 0 65.0 4 1
3 0 13 3 0 0 3 10 101 5 4 3 249 249 5 6 3 13 13 46 9 46 4 3 4 0 152.0 4 1
3 0 20 3 0 0 5 15 1580 0 1 32 1580 1580 20 14 5 20 20 32 19 32 1 3 21 2 257.0 4 1
1 0 1 1 1 1 1 0 0 0 0 50 0 0 1 0 0 0 1 50 0 50 1 1 0 0 10.0 4 1
2 0 6 2 6 1 6 0 254 0 0 54 254 254 6 0 5 0 6 54 5 54 1 2 6 2 102.0 4 1
3 0 5 3 1 1 1 4 488 3 2 1 586 586 3 2 0 4 5 1 2 55 3 3 1 0 112.0 4 1
2 0 1 2 1 1 1 0 2 0 0 58 2 2 1 0 0 0 1 58 0 58 1 2 1 4 30.0 4 1
4 0 5 2 1 1 1 4 8 2 3 2 18 18 2 1 0 4 5 23 1 60 4 4 0 0 5.0 4 1
3 0 6 2 4 1 4 2 159 1 2 32 159 159 4 0 3 2 6 54 3 54 3 3 0 0 16.0 4 1
2 0 10 2 2 1 2 8 527 5 3 6 1009 1009 5 5 1 8 10 6 6 53 4 2 2 0 134.0 4 1
2 0 7 1 0 0 0 7 28 3 4 3 56 56 3 3 0 7 7 3 3 26 4 2 0 1 47.0 4 1
5 0 11 3 1 1 1 10 218 6 4 4 291 291 6 6 0 10 11 20 6 59 5 5 0 0 32.0 4 1
3 0 3 2 1 1 1 2 6 0 1 32 8 8 2 1 0 2 3 32 1 60 2 3 0 0 9.0 4 1
1 1 4 1 2 2 2 2 163 1 2 37 193 193 1 0 0 2 4 37 0 56 4 1 0 0 91.0 4 1
3 0 3 2 0 0 0 3 24 2 2 4 29 29 2 1 0 3 3 4 1 11 2 3 0 0 20.0 4 1
2 0 3 2 0 0 0 3 48 2 2 30 52 52 2 1 0 3 3 30 1 46 2 2 1 1 60.0 4 1
1 0 1 1 0 0 0 1 0 0 1 29 0 0 1 0 0 1 1 29 0 29 1 1 0 0 17.0 4 1
3 0 5 2 2 1 2 3 133 2 2 6 163 163 2 1 1 3 5 6 2 54 3 3 0 0 43.0 4 1
1 0 1 1 0 0 0 1 0 0 1 27 0 0 1 0 0 1 1 27 0 27 1 1 0 0 42.0 4 1
2 2 6 2 3 2 3 3 46 2 2 30 73 73 2 1 1 3 6 30 2 57 4 2 2 0 292.0 4 1
1 0 3 1 1 1 1 2 101 0 1 37 104 104 2 1 0 2 3 37 1 50 2 1 0 0 158.0 4 1
1 0 1 1 1 1 1 0 2 0 0 50 2 2 1 0 0 0 1 50 0 50 1 1 0 0 131.0 4 1
2 0 7 2 0 0 2 5 292 5 3 26 297 297 5 2 2 7 7 47 4 47 3 2 2 0 16.0 4 1
4 0 5 4 5 1 5 0 71 0 0 52 71 71 5 0 4 0 5 52 4 52 1 4 5 0 249.0 4 1
4 1 5 1 2 2 2 3 6 1 3 5 12 12 1 0 0 3 5 5 0 59 5 4 0 0 19.0 4 1
3 0 9 3 0 0 2 7 238 0 1 41 238 238 9 6 2 9 9 41 8 41 1 3 5 3 97.0 4 1
2 0 2 1 1 1 1 1 19 0 1 41 19 19 1 0 0 1 2 41 0 54 2 2 0 0 43.0 4 1
3 0 4 3 4 1 4 0 267 0 0 55 267 267 4 0 3 0 4 55 3 55 1 3 3 0 108.0 4 1
2 0 3 2 0 0 2 1 13 0 1 46 13 13 3 0 2 3 3 46 2 46 1 2 3 0 12.0 4 1
3 0 6 3 1 1 1 5 53 0 1 30 61 61 5 4 0 5 6 30 4 50 2 3 1 0 34.0 4 1
6 0 17 5 0 0 5 12 277 7 3 1 570 570 7 9 5 17 17 45 14 45 3 6 1 0 85.0 4 1
2 0 5 1 1 1 1 4 152 3 2 18 210 210 3 2 0 4 5 18 2 54 3 2 0 0 45.0 4 1
4 0 4 4 4 1 4 0 105 0 0 55 105 105 4 0 3 0 4 55 3 55 1 4 2 1 576.0 4 1
1 0 1 1 1 1 1 0 2 0 0 50 2 2 1 0 0 0 1 50 0 50 1 1 0 0 22.0 4 1
1 2 3 1 3 2 3 0 70 0 0 50 71 71 2 0 1 0 3 50 1 60 2 1 0 0 12.0 4 1
10 0 41 9 0 0 12 29 4051 33 3 1 4984 4984 33 26 12 41 41 20 38 20 3 10 17 1 1040.0 4 1
2 0 3 1 2 1 2 1 16 0 1 6 16 16 2 0 1 1 3 53 1 53 2 2 0 0 12.0 4 1
1 0 3 1 3 1 3 0 40 0 0 55 40 40 3 0 2 0 3 55 2 55 1 1 1 0 267.0 4 1
1 0 3 1 1 1 1 2 5 0 1 44 7 7 2 1 0 2 3 44 1 57 2 1 0 0 25.0 4 1
5 0 14 2 0 0 6 8 311 7 5 4 471 471 7 3 6 14 14 48 9 48 5 5 3 0 295.0 4 1
3 0 7 2 3 1 3 4 410 2 3 27 507 507 3 1 2 4 7 54 3 54 4 3 0 0 134.0 4 1
1 0 2 1 0 0 1 1 3 0 1 49 3 3 2 0 1 2 2 49 1 49 1 1 0 0 12.0 4 1
