TotalPeopleInBurst MaximumCodeBurstLate NumberOfChanges MaxPeopleInBurst TotalBurstSizeLate NumberCodeBurstsLate NumberOfChangesLate NumberOfChangesEarly MaxChurnInBurst MaximumCodeBurstEarly NumberCodeBurstsEarly TimeFirstBurst TotalChurnInBurst ChurnTotal MaximumCodeBurst NumberOfConsecutiveChangesEarly NumberConsecutiveChangesLate TotalBurstSizeEarly TotalBurstSize TimeMaxBurst NumberConsecutiveChanges TimeLastBurst NumberCodeBursts PeopleTotal pre NumberOfDefects TLOC GapSize BurstSize
0 0 1 0 0 0 1 0 0 0 0 -1 0 0 0 0 0 0 0 -1 0 -1 0 1 0 0 18.0 1 4
0 0 1 0 0 0 1 0 0 0 0 -1 0 0 0 0 0 0 0 -1 0 -1 0 1 5 0 122.0 1 4
0 0 1 0 0 0 1 0 0 0 0 -1 0 0 0 0 0 0 0 -1 0 -1 0 1 1 0 54.0 1 4
0 0 3 0 0 0 0 3 0 0 0 -1 0 35 0 0 0 0 0 -1 0 -1 0 3 0 0 30.0 1 4
0 0 5 0 0 0 1 4 0 0 0 -1 0 107 0 1 0 0 0 -1 1 -1 0 2 0 0 22.0 1 4
0 0 3 0 0 0 3 0 0 0 0 -1 0 4 0 0 1 0 0 -1 1 -1 0 2 1 1 96.0 1 4
0 0 7 0 0 0 2 5 0 0 0 -1 0 1171 0 1 0 0 0 -1 1 -1 0 2 1 0 89.0 1 4
0 0 14 0 0 0 4 10 0 0 0 -1 0 1725 0 4 1 0 0 -1 5 -1 0 3 0 0 513.0 1 4
0 0 2 0 0 0 0 2 0 0 0 -1 0 5 0 0 0 0 0 -1 0 -1 0 2 0 0 65.0 1 4
0 0 13 0 0 0 3 10 0 0 0 -1 0 249 0 2 0 0 0 -1 2 -1 0 3 4 0 152.0 1 4
3 0 20 3 0 0 5 15 980 10 2 39 1301 1580 10 11 5 15 15 45 16 45 2 3 21 2 257.0 1 4
0 0 1 0 0 0 1 0 0 0 0 -1 0 0 0 0 0 0 0 -1 0 -1 0 1 0 0 10.0 1 4
2 0 6 2 4 1 6 0 194 0 0 54 194 254 4 0 4 0 4 54 4 54 1 2 6 2 102.0 1 4
0 0 5 0 0 0 1 4 0 0 0 -1 0 586 0 1 0 0 0 -1 1 -1 0 3 1 0 112.0 1 4
0 0 1 0 0 0 1 0 0 0 0 -1 0 2 0 0 0 0 0 -1 0 -1 0 2 1 4 30.0 1 4
0 0 5 0 0 0 1 4 0 0 0 -1 0 18 0 0 0 0 0 -1 0 -1 0 4 0 0 5.0 1 4
0 0 6 0 0 0 4 2 0 0 0 -1 0 159 0 0 1 0 0 -1 1 -1 0 3 0 0 16.0 1 4
0 0 10 0 0 0 2 8 0 0 0 -1 0 1009 0 2 1 0 0 -1 3 -1 0 2 2 0 134.0 1 4
0 0 7 0 0 0 0 7 0 0 0 -1 0 56 0 2 0 0 0 -1 2 -1 0 2 0 1 47.0 1 4
