TotalPeopleInBurst MaximumCodeBurstLate NumberOfChanges MaxPeopleInBurst TotalBurstSizeLate NumberCodeBurstsLate NumberOfChangesLate NumberOfChangesEarly MaxChurnInBurst MaximumCodeBurstEarly NumberCodeBurstsEarly TimeFirstBurst TotalChurnInBurst ChurnTotal MaximumCodeBurst NumberOfConsecutiveChangesEarly NumberConsecutiveChangesLate TotalBurstSizeEarly TotalBurstSize TimeMaxBurst NumberConsecutiveChanges TimeLastBurst NumberCodeBursts PeopleTotal pre NumberOfDefects TLOC GapSize BurstSize
0 0 3 0 0 0 2 1 0 0 0 -1 0 11 0 0 0 0 0 -1 0 -1 0 3 0 0 14.0 3 3
0 0 2 0 0 0 1 1 0 0 0 -1 0 2 0 0 0 0 0 -1 0 -1 0 2 0 0 13.0 3 3
0 0 4 0 0 0 1 3 0 0 0 -1 0 200 0 1 0 0 0 -1 1 -1 0 3 0 2 79.0 3 3
0 0 1 0 0 0 1 0 0 0 0 -1 0 2 0 0 0 0 0 -1 0 -1 0 1 0 0 66.0 3 3
2 0 24 2 11 1 11 13 762 4 2 7 798 915 11 7 10 7 18 54 17 54 3 2 0 0 685.0 3 3
0 0 5 0 0 0 1 4 0 0 0 -1 0 67 0 1 0 0 0 -1 1 -1 0 4 0 0 22.0 3 3
0 0 2 0 0 0 1 1 0 0 0 -1 0 4 0 0 0 0 0 -1 0 -1 0 2 0 0 62.0 3 3
0 0 5 0 0 0 3 2 0 0 0 -1 0 43 0 0 0 0 0 -1 0 -1 0 3 0 0 73.0 3 3
0 0 5 0 0 0 1 4 0 0 0 -1 0 95 0 0 0 0 0 -1 0 -1 0 3 1 0 443.0 3 3
1 0 6 1 0 0 2 4 40 0 1 1 40 80 3 2 1 3 3 1 3 1 1 2 0 0 131.0 3 3
0 0 1 0 0 0 1 0 0 0 0 -1 0 590 0 0 0 0 0 -1 0 -1 0 1 0 0 90.0 3 3
0 0 2 0 0 0 2 0 0 0 0 -1 0 52 0 0 1 0 0 -1 1 -1 0 1 2 0 64.0 3 3
2 0 6 2 6 1 6 0 459 0 0 55 459 459 6 0 5 0 6 55 5 55 1 2 0 0 188.0 3 3
0 0 1 0 0 0 0 1 0 0 0 -1 0 0 0 0 0 0 0 -1 0 -1 0 1 0 0 15.0 3 3
2 0 5 2 0 0 1 4 8 0 1 10 8 16 3 2 0 3 3 10 2 10 1 3 0 0 40.0 3 3
0 0 1 0 0 0 1 0 0 0 0 -1 0 0 0 0 0 0 0 -1 0 -1 0 1 0 0 59.0 3 3
2 0 5 2 0 0 1 4 41 0 1 47 41 49 3 2 0 3 3 47 2 47 1 4 0 0 127.0 3 3
0 0 3 0 0 0 2 1 0 0 0 -1 0 8 0 0 0 0 0 -1 0 -1 0 2 0 0 16.0 3 3
2 0 15 2 0 0 1 14 311 5 3 8 442 1158 5 10 0 12 12 8 10 32 3 2 0 0 82.0 3 3
0 0 1 0 0 0 1 0 0 0 0 -1 0 2 0 0 0 0 0 -1 0 -1 0 1 0 0 79.0 3 3
0 0 1 0 0 0 1 0 0 0 0 -1 0 2 0 0 0 0 0 -1 0 -1 0 1 0 0 32.0 3 3
0 0 6 0 0 0 2 4 0 0 0 -1 0 53 0 2 0 0 0 -1 2 -1 0 3 0 0 87.0 3 3
0 0 7 0 0 0 2 5 0 0 0 -1 0 40 0 2 0 0 0 -1 2 -1 0 3 0 0 94.0 3 3
1 0 6 1 6 1 6 0 123 0 0 55 123 123 6 0 5 0 6 55 5 55 1 1 0 0 43.0 3 3
1 0 5 1 0 0 1 4 105 0 1 46 105 132 3 2 0 3 3 46 2 46 1 3 0 0 123.0 3 3
0 0 1 0 0 0 1 0 0 0 0 -1 0 26 0 0 0 0 0 -1 0 -1 0 1 1 0 7.0 3 3
0 0 4 0 0 0 1 3 0 0 0 -1 0 50 0 0 0 0 0 -1 0 -1 0 2 0 0 134.0 3 3
