TotalPeopleInBurst MaximumCodeBurstLate NumberOfChanges MaxPeopleInBurst TotalBurstSizeLate NumberCodeBurstsLate NumberOfChangesLate NumberOfChangesEarly MaxChurnInBurst MaximumCodeBurstEarly NumberCodeBurstsEarly TimeFirstBurst TotalChurnInBurst ChurnTotal MaximumCodeBurst NumberOfConsecutiveChangesEarly NumberConsecutiveChangesLate TotalBurstSizeEarly TotalBurstSize TimeMaxBurst NumberConsecutiveChanges TimeLastBurst NumberCodeBursts PeopleTotal pre NumberOfDefects TLOC
0 0 2 0 0 0 1 1 0 0 0 -1 0 14 0 0 0 0 0 -1 0 -1 0 3 0 0 49.0
0 0 2 0 0 0 1 1 0 0 0 -1 0 22 0 0 0 0 0 -1 0 -1 0 2 1 0 119.0
0 0 2 0 0 0 1 1 0 0 0 -1 0 18 0 0 0 0 0 -1 0 -1 0 2 0 0 11.0
0 0 2 0 0 0 1 1 0 0 0 -1 0 10 0 0 0 0 0 -1 0 -1 0 2 0 0 57.0
5 0 6 5 5 1 5 1 39 0 0 33 39 52 5 0 4 0 5 33 4 33 1 6 3 0 66.0
0 0 2 0 0 0 1 1 0 0 0 -1 0 84 0 0 0 0 0 -1 0 -1 0 2 0 0 22.0
0 0 2 0 0 0 1 1 0 0 0 -1 0 14 0 0 0 0 0 -1 0 -1 0 2 0 0 8.0
0 0 3 0 0 0 2 1 0 0 0 -1 0 13 0 0 1 0 0 -1 1 -1 0 2 3 0 75.0
0 0 2 0 0 0 2 0 0 0 0 -1 0 414 0 0 1 0 0 -1 1 -1 0 4 3 0 441.0
0 0 2 0 0 0 1 1 0 0 0 -1 0 62 0 0 0 0 0 -1 0 -1 0 2 0 1 135.0
0 0 1 0 0 0 1 0 0 0 0 -1 0 16 0 0 0 0 0 -1 0 -1 0 1 0 0 89.0
3 0 5 3 4 1 4 1 23 0 0 33 23 1479 4 0 3 0 4 33 3 33 1 3 1 1 519.0
0 0 3 0 0 0 1 2 0 0 0 -1 0 602 0 0 0 0 0 -1 0 -1 0 3 0 0 154.0
1 0 6 1 0 0 2 4 63 0 1 10 63 97 3 2 1 3 3 10 3 10 1 3 5 0 275.0
0 0 1 0 0 0 1 0 0 0 0 -1 0 14 0 0 0 0 0 -1 0 -1 0 1 0 0 10.0
0 0 1 0 0 0 1 0 0 0 0 -1 0 19 0 0 0 0 0 -1 0 -1 0 1 0 0 112.0
2 0 7 2 0 0 1 6 12 0 1 10 12 112 4 3 0 4 4 10 3 10 1 3 1 2 40.0
