TotalPeopleInBurst MaximumCodeBurstLate NumberOfChanges MaxPeopleInBurst TotalBurstSizeLate NumberCodeBurstsLate NumberOfChangesLate NumberOfChangesEarly MaxChurnInBurst MaximumCodeBurstEarly NumberCodeBurstsEarly TimeFirstBurst TotalChurnInBurst ChurnTotal MaximumCodeBurst NumberOfConsecutiveChangesEarly NumberConsecutiveChangesLate TotalBurstSizeEarly TotalBurstSize TimeMaxBurst NumberConsecutiveChanges TimeLastBurst NumberCodeBursts PeopleTotal pre NumberOfDefects TLOC GapSize BurstSize
0 0 1 0 0 0 1 0 0 0 0 -1 0 0 0 0 0 0 0 -1 0 -1 0 1 0 0 18.0 4 4
0 0 1 0 0 0 1 0 0 0 0 -1 0 0 0 0 0 0 0 -1 0 -1 0 1 5 0 122.0 4 4
0 0 1 0 0 0 1 0 0 0 0 -1 0 0 0 0 0 0 0 -1 0 -1 0 1 1 0 54.0 4 4
0 0 3 0 0 0 0 3 0 0 0 -1 0 35 0 1 0 0 0 -1 1 -1 0 3 0 0 30.0 4 4
0 0 5 0 0 0 1 4 0 0 0 -1 0 107 0 2 0 0 0 -1 2 -1 0 2 0 0 22.0 4 4
0 0 3 0 0 0 3 0 0 0 0 -1 0 4 0 0 1 0 0 -1 1 -1 0 2 1 1 96.0 4 4
0 0 7 0 0 0 2 5 0 0 0 -1 0 1171 0 2 2 0 0 -1 4 -1 0 2 1 0 89.0 4 4
3 0 14 3 4 1 4 10 194 0 1 27 248 1725 4 6 3 4 8 27 9 51 2 3 0 0 513.0 4 4
0 0 2 0 0 0 0 2 0 0 0 -1 0 5 0 1 0 0 0 -1 1 -1 0 2 0 0 65.0 4 4
3 0 13 3 0 0 3 10 68 0 1 46 68 249 5 6 3 5 5 46 9 46 1 3 4 0 152.0 4 4
3 0 20 3 0 0 5 15 1580 0 1 32 1580 1580 20 14 5 20 20 32 19 32 1 3 21 2 257.0 4 4
0 0 1 0 0 0 1 0 0 0 0 -1 0 0 0 0 0 0 0 -1 0 -1 0 1 0 0 10.0 4 4
2 0 6 2 6 1 6 0 254 0 0 54 254 254 6 0 5 0 6 54 5 54 1 2 6 2 102.0 4 4
0 0 5 0 0 0 1 4 0 0 0 -1 0 586 0 2 0 0 0 -1 2 -1 0 3 1 0 112.0 4 4
0 0 1 0 0 0 1 0 0 0 0 -1 0 2 0 0 0 0 0 -1 0 -1 0 2 1 4 30.0 4 4
0 0 5 0 0 0 1 4 0 0 0 -1 0 18 0 1 0 0 0 -1 1 -1 0 4 0 0 5.0 4 4
2 0 6 2 4 1 4 2 159 0 0 54 159 159 4 0 3 0 4 54 3 54 1 3 0 0 16.0 4 4
1 0 10 1 0 0 2 8 527 0 1 6 527 1009 5 5 1 5 5 6 6 6 1 2 2 0 134.0 4 4
0 0 7 0 0 0 0 7 0 0 0 -1 0 56 0 3 0 0 0 -1 3 -1 0 2 0 1 47.0 4 4
3 0 11 3 0 0 1 10 218 0 1 20 218 291 6 6 0 6 6 20 6 20 1 5 0 0 32.0 4 4
0 0 3 0 0 0 1 2 0 0 0 -1 0 8 0 1 0 0 0 -1 1 -1 0 3 0 0 9.0 4 4
0 0 4 0 0 0 2 2 0 0 0 -1 0 193 0 0 0 0 0 -1 0 -1 0 1 0 0 91.0 4 4
0 0 3 0 0 0 0 3 0 0 0 -1 0 29 0 1 0 0 0 -1 1 -1 0 3 0 0 20.0 4 4
0 0 3 0 0 0 0 3 0 0 0 -1 0 52 0 1 0 0 0 -1 1 -1 0 2 1 1 60.0 4 4
0 0 1 0 0 0 0 1 0 0 0 -1 0 0 0 0 0 0 0 -1 0 -1 0 1 0 0 17.0 4 4
0 0 5 0 0 0 2 3 0 0 0 -1 0 163 0 1 1 0 0 -1 2 -1 0 3 0 0 43.0 4 4
0 0 1 0 0 0 0 1 0 0 0 -1 0 0 0 0 0 0 0 -1 0 -1 0 1 0 0 42.0 4 4
0 0 6 0 0 0 3 3 0 0 0 -1 0 73 0 1 1 0 0 -1 2 -1 0 2 2 0 292.0 4 4
0 0 3 0 0 0 1 2 0 0 0 -1 0 104 0 1 0 0 0 -1 1 -1 0 1 0 0 158.0 4 4
0 0 1 0 0 0 1 0 0 0 0 -1 0 2 0 0 0 0 0 -1 0 -1 0 1 0 0 131.0 4 4
2 0 7 2 0 0 2 5 292 0 1 47 292 297 5 2 2 5 5 47 4 47 1 2 2 0 16.0 4 4
4 0 5 4 5 1 5 0 71 0 0 52 71 71 5 0 4 0 5 52 4 52 1 4 5 0 249.0 4 4
0 0 5 0 0 0 2 3 0 0 0 -1 0 12 0 0 0 0 0 -1 0 -1 0 4 0 0 19.0 4 4
3 0 9 3 0 0 2 7 238 0 1 41 238 238 9 6 2 9 9 41 8 41 1 3 5 3 97.0 4 4
0 0 2 0 0 0 1 1 0 0 0 -1 0 19 0 0 0 0 0 -1 0 -1 0 2 0 0 43.0 4 4
3 0 4 3 4 1 4 0 267 0 0 55 267 267 4 0 3 0 4 55 3 55 1 3 3 0 108.0 4 4
0 0 3 0 0 0 2 1 0 0 0 -1 0 13 0 0 2 0 0 -1 2 -1 0 2 3 0 12.0 4 4
3 0 6 3 0 0 1 5 53 0 1 30 53 61 5 4 0 5 5 30 4 30 1 3 1 0 34.0 4 4
6 0 17 5 0 0 5 12 277 7 3 1 570 570 7 9 5 17 17 45 14 45 3 6 1 0 85.0 4 4
0 0 5 0 0 0 1 4 0 0 0 -1 0 210 0 2 0 0 0 -1 2 -1 0 2 0 0 45.0 4 4
4 0 4 4 4 1 4 0 105 0 0 55 105 105 4 0 3 0 4 55 3 55 1 4 2 1 576.0 4 4
0 0 1 0 0 0 1 0 0 0 0 -1 0 2 0 0 0 0 0 -1 0 -1 0 1 0 0 22.0 4 4
0 0 3 0 0 0 3 0 0 0 0 -1 0 71 0 0 1 0 0 -1 1 -1 0 1 0 0 12.0 4 4
10 0 41 9 0 0 12 29 4051 33 2 1 4850 4984 33 26 12 39 39 20 38 20 2 10 17 1 1040.0 4 4
0 0 3 0 0 0 2 1 0 0 0 -1 0 16 0 0 1 0 0 -1 1 -1 0 2 0 0 12.0 4 4
0 0 3 0 0 0 3 0 0 0 0 -1 0 40 0 0 2 0 0 -1 2 -1 0 1 1 0 267.0 4 4
0 0 3 0 0 0 1 2 0 0 0 -1 0 7 0 1 0 0 0 -1 1 -1 0 1 0 0 25.0 4 4
2 0 14 2 0 0 6 8 118 0 1 48 118 471 7 3 6 7 7 48 9 48 1 5 3 0 295.0 4 4
0 0 7 0 0 0 3 4 0 0 0 -1 0 507 0 1 2 0 0 -1 3 -1 0 3 0 0 134.0 4 4
0 0 2 0 0 0 1 1 0 0 0 -1 0 3 0 0 1 0 0 -1 1 -1 0 1 0 0 12.0 4 4
