Format:
Edge; Number of graphs this edge appears in
NumberOfChangesLate -> MaximumCodeBurstLate; 10
NumberOfChangesLate -> PeopleTotal; 10
NumberOfChangesLate -> bugs; 10
NumberOfChangesEarly -> MaximumCodeBurstEarly; 10
NumberOfChangesEarly -> PeopleTotal; 10
TimeFirstBurst -> TimeMaxBurst; 10
ChurnTotal -> PeopleTotal; 10
NumberOfConsecutiveChangesEarly -> MaximumCodeBurstEarly; 10
NumberConsecutiveChangesLate -> MaximumCodeBurstLate; 10
NumberConsecutiveChanges -> ChurnTotal; 10
NumberConsecutiveChanges -> TimeMaxBurst; 10
TimeLastBurst -> TimeMaxBurst; 10
BurstSize -> MaximumCodeBurstEarly; 10
NumberCodeBurstsLate -> TimeLastBurst; 9
NumberOfChangesLate -> ChurnTotal; 9
NumberOfChangesEarly -> ChurnTotal; 9
MaximumCodeBurstEarly -> TimeFirstBurst; 9
TotalChurnInBurst -> MaxChurnInBurst; 9
ChurnTotal -> TotalChurnInBurst; 9
ChurnTotal -> bugs; 9
NumberConsecutiveChanges -> MaxChurnInBurst; 9
NumberConsecutiveChanges -> GapSize; 9
BurstSize -> MaximumCodeBurstLate; 9
NumberOfChangesLate -> GapSize; 8
NumberOfChangesEarly -> GapSize; 8
NumberOfConsecutiveChangesEarly -> TotalChurnInBurst; 8
NumberConsecutiveChangesLate -> TotalChurnInBurst; 8
NumberOfChangesLate -> NumberOfChanges; 7
NumberOfConsecutiveChangesEarly -> bugs; 7
NumberOfChangesEarly -> NumberOfConsecutiveChangesEarly; 7
TotalChurnInBurst -> BurstSize; 7
ChurnTotal -> BurstSize; 7
NumberConsecutiveChanges -> BurstSize; 7
MaxPeopleInBurst -> TotalBurstSize; 6
NumberCodeBurstsLate -> TotalBurstSizeEarly; 6
NumberOfConsecutiveChangesEarly -> NumberConsecutiveChangesLate; 6
NumberOfChanges -> NumberOfChangesEarly; 6
NumberOfChanges -> MaxChurnInBurst; 6
NumberOfChangesLate -> NumberOfConsecutiveChangesEarly; 6
NumberOfChangesLate -> NumberConsecutiveChangesLate; 6
NumberOfChangesLate -> NumberConsecutiveChanges; 6
NumberOfChangesEarly -> NumberConsecutiveChangesLate; 6
MaximumCodeBurstEarly -> TimeLastBurst; 6
TimeFirstBurst -> TimeLastBurst; 6
NumberOfConsecutiveChangesEarly -> TimeFirstBurst; 6
NumberOfConsecutiveChangesEarly -> NumberConsecutiveChanges; 6
NumberConsecutiveChangesLate -> NumberConsecutiveChanges; 6
TotalBurstSizeEarly -> TotalBurstSize; 6
NumberCodeBurstsLate -> TotalBurstSizeLate; 6
NumberOfChangesLate -> NumberCodeBurstsLate; 6
NumberConsecutiveChangesLate -> NumberCodeBurstsLate; 6
BurstSize -> NumberCodeBurstsLate; 6
MaxPeopleInBurst -> MaximumCodeBurst; 5
NumberOfChangesLate -> NumberOfChangesEarly; 5
NumberCodeBurstsEarly -> TotalPeopleInBurst; 5
NumberCodeBurstsEarly -> TotalBurstSizeEarly; 5
TotalBurstSizeEarly -> TotalPeopleInBurst; 5
TotalBurstSize -> MaximumCodeBurst; 5
NumberCodeBursts -> MaxPeopleInBurst; 5
NumberCodeBursts -> MaximumCodeBurst; 5
NumberCodeBursts -> TotalBurstSize; 5
NumberCodeBurstsEarly -> TotalBurstSize; 5
MaximumCodeBurst -> MaxPeopleInBurst; 5
MaximumCodeBurst -> NumberCodeBursts; 5
TotalBurstSize -> NumberCodeBursts; 5
MaxPeopleInBurst -> NumberCodeBursts; 5
NumberOfChangesEarly -> NumberOfChangesLate; 5
MaximumCodeBurst -> TotalPeopleInBurst; 5
MaximumCodeBurst -> TotalBurstSize; 5
TotalBurstSizeEarly -> NumberCodeBurstsEarly; 5
TotalPeopleInBurst -> NumberCodeBursts; 4
TotalBurstSizeLate -> NumberCodeBurstsLate; 4
NumberOfChangesLate -> TotalBurstSizeLate; 4
NumberOfChangesEarly -> NumberOfChanges; 4
NumberOfConsecutiveChangesEarly -> TimeLastBurst; 4
NumberConsecutiveChangesLate -> TotalBurstSizeLate; 4
NumberConsecutiveChangesLate -> NumberOfChangesLate; 4
NumberConsecutiveChanges -> NumberOfConsecutiveChangesEarly; 4
NumberConsecutiveChanges -> NumberConsecutiveChangesLate; 4
TimeLastBurst -> TimeFirstBurst; 4
BurstSize -> TotalBurstSizeLate; 4
NumberCodeBurstsLate -> NumberCodeBurstsEarly; 4
NumberConsecutiveChangesLate -> NumberOfConsecutiveChangesEarly; 4
TotalBurstSize -> TotalPeopleInBurst; 4
TotalBurstSizeLate -> MaxPeopleInBurst; 4
NumberCodeBurstsLate -> MaxPeopleInBurst; 4
TotalChurnInBurst -> TotalBurstSizeEarly; 4
BurstSize -> TotalBurstSizeEarly; 4
NumberCodeBursts -> TotalPeopleInBurst; 4
NumberCodeBurstsLate -> TimeFirstBurst; 3
NumberCodeBurstsEarly -> MaxPeopleInBurst; 3
NumberOfConsecutiveChangesEarly -> NumberOfChangesEarly; 3
TotalBurstSizeEarly -> MaxPeopleInBurst; 3
NumberConsecutiveChanges -> NumberOfChangesLate; 3
BurstSize -> NumberCodeBurstsEarly; 3
NumberOfChangesEarly -> NumberCodeBurstsEarly; 3
TotalBurstSizeEarly -> MaximumCodeBurst; 3
NumberOfChanges -> NumberOfChangesLate; 3
NumberCodeBurstsLate -> MaximumCodeBurst; 3
NumberCodeBursts -> TimeFirstBurst; 3
BurstSize -> NumberCodeBursts; 3
MaxPeopleInBurst -> TotalPeopleInBurst; 3
PeopleTotal -> bugs; 3
NumberOfChangesEarly -> TotalBurstSizeEarly; 3
TotalPeopleInBurst -> TotalBurstSize; 2
TotalBurstSizeLate -> TotalBurstSizeEarly; 2
NumberCodeBurstsLate -> TotalPeopleInBurst; 2
NumberOfConsecutiveChangesEarly -> GapSize; 2
NumberCodeBursts -> TimeLastBurst; 2
GapSize -> NumberOfChangesLate; 2
GapSize -> NumberOfChangesEarly; 2
BurstSize -> TotalChurnInBurst; 2
MaxChurnInBurst -> TimeFirstBurst; 2
NumberCodeBurstsEarly -> MaximumCodeBurst; 2
TimeFirstBurst -> NumberCodeBurstsEarly; 2
TotalBurstSize -> MaxPeopleInBurst; 2
MaxPeopleInBurst -> NumberCodeBurstsEarly; 2
MaxChurnInBurst -> MaximumCodeBurst; 2
NumberCodeBursts -> NumberCodeBurstsEarly; 2
MaxPeopleInBurst -> TotalBurstSizeEarly; 2
NumberConsecutiveChanges -> NumberOfChangesEarly; 2
TotalChurnInBurst -> NumberCodeBurstsEarly; 2
TotalChurnInBurst -> NumberCodeBursts; 2
NumberConsecutiveChanges -> NumberCodeBursts; 2
NumberCodeBursts -> TotalBurstSizeLate; 2
MaximumCodeBurstEarly -> MaxChurnInBurst; 1
NumberCodeBurstsEarly -> NumberCodeBursts; 1
TimeFirstBurst -> TotalChurnInBurst; 1
NumberOfConsecutiveChangesEarly -> NumberCodeBurstsEarly; 1
NumberConsecutiveChangesLate -> NumberCodeBurstsEarly; 1
TotalBurstSizeEarly -> NumberCodeBursts; 1
GapSize -> NumberConsecutiveChangesLate; 1
NumberCodeBurstsLate -> TotalBurstSize; 1
NumberOfChangesEarly -> bugs; 1
TotalBurstSizeLate -> TotalPeopleInBurst; 1
MaximumCodeBurst -> NumberCodeBurstsEarly; 1
BurstSize -> MaximumCodeBurst; 1
TotalPeopleInBurst -> MaximumCodeBurst; 1
NumberCodeBurstsLate -> NumberCodeBursts; 1
MaxChurnInBurst -> NumberCodeBursts; 1
MaximumCodeBurstLate -> TotalPeopleInBurst; 1
MaximumCodeBurstLate -> TotalBurstSizeLate; 1
NumberOfChangesEarly -> MaxChurnInBurst; 1
MaxChurnInBurst -> TimeLastBurst; 1
TotalChurnInBurst -> MaximumCodeBurstLate; 1
ChurnTotal -> TimeLastBurst; 1
MaximumCodeBurst -> TotalBurstSizeLate; 1
MaximumCodeBurst -> TotalBurstSizeEarly; 1
NumberOfConsecutiveChangesEarly -> BurstSize; 1
NumberConsecutiveChangesLate -> BurstSize; 1
TimeLastBurst -> MaximumCodeBurst; 1
TimeLastBurst -> BurstSize; 1
TotalBurstSizeLate -> MaximumCodeBurst; 1
TotalBurstSizeEarly -> TimeLastBurst; 1
TotalBurstSize -> NumberCodeBurstsEarly; 1
TotalPeopleInBurst -> MaxPeopleInBurst; 1
TotalPeopleInBurst -> TotalBurstSizeLate; 1
NumberOfChangesEarly -> TimeFirstBurst; 1
TotalChurnInBurst -> TimeFirstBurst; 1
NumberConsecutiveChangesLate -> GapSize; 1
GapSize -> MaxChurnInBurst; 1
BurstSize -> TimeFirstBurst; 1
TotalBurstSizeLate -> NumberCodeBurstsEarly; 1
TimeFirstBurst -> TotalBurstSizeEarly; 1
TotalBurstSize -> TotalBurstSizeLate; 1
MaxPeopleInBurst -> TotalBurstSizeLate; 1
MaxChurnInBurst -> NumberOfChangesEarly; 1
MaxChurnInBurst -> TotalChurnInBurst; 1
MaxChurnInBurst -> NumberConsecutiveChanges; 1
TotalChurnInBurst -> MaxPeopleInBurst; 1
TotalChurnInBurst -> ChurnTotal; 1
TotalChurnInBurst -> NumberConsecutiveChangesLate; 1
TotalChurnInBurst -> NumberConsecutiveChanges; 1
ChurnTotal -> NumberOfChangesLate; 1
ChurnTotal -> NumberOfChangesEarly; 1
ChurnTotal -> NumberOfConsecutiveChangesEarly; 1
NumberConsecutiveChanges -> MaxPeopleInBurst; 1
BurstSize -> MaxPeopleInBurst; 1
BurstSize -> MaxChurnInBurst; 1
BurstSize -> ChurnTotal; 1
BurstSize -> NumberConsecutiveChanges; 1
