Format:
Edge; Number of graphs this edge appears in
NumberOfChangesLate -> NumberOfChanges; 10
NumberOfChangesLate -> ChurnTotal; 10
NumberOfChangesLate -> PeopleTotal; 10
NumberOfChangesEarly -> NumberOfChanges; 10
NumberOfChangesEarly -> NumberOfChangesLate; 10
NumberOfChangesEarly -> ChurnTotal; 10
NumberOfChangesEarly -> PeopleTotal; 10
TotalChurnInBurst -> MaxChurnInBurst; 10
ChurnTotal -> TotalChurnInBurst; 10
ChurnTotal -> bugs; 10
NumberOfConsecutiveChangesEarly -> ChurnTotal; 10
NumberOfConsecutiveChangesEarly -> NumberConsecutiveChanges; 10
NumberConsecutiveChangesLate -> NumberOfChangesLate; 10
TimeLastBurst -> TimeMaxBurst; 10
PeopleTotal -> bugs; 10
MaximumCodeBurstLate -> NumberOfChanges; 9
MaximumCodeBurstEarly -> MaxChurnInBurst; 9
MaximumCodeBurstEarly -> TotalChurnInBurst; 9
TimeFirstBurst -> NumberOfConsecutiveChangesEarly; 9
NumberOfConsecutiveChangesEarly -> NumberOfChangesEarly; 9
NumberConsecutiveChangesLate -> NumberOfConsecutiveChangesEarly; 9
NumberConsecutiveChangesLate -> NumberConsecutiveChanges; 9
NumberConsecutiveChanges -> NumberOfChangesEarly; 9
NumberCodeBurstsLate -> MaximumCodeBurstLate; 9
MaximumCodeBurstEarly -> MaximumCodeBurstLate; 8
TotalPeopleInBurst -> TotalBurstSize; 7
MaxPeopleInBurst -> MaximumCodeBurst; 7
NumberCodeBurstsEarly -> NumberOfConsecutiveChangesEarly; 7
TotalBurstSize -> MaxPeopleInBurst; 7
TotalBurstSize -> NumberCodeBursts; 7
TimeFirstBurst -> MaximumCodeBurstEarly; 7
TimeMaxBurst -> TimeFirstBurst; 7
TimeLastBurst -> MaximumCodeBurstEarly; 7
TotalBurstSizeLate -> MaximumCodeBurstLate; 7
TotalPeopleInBurst -> MaxPeopleInBurst; 6
TotalPeopleInBurst -> NumberCodeBursts; 6
MaxPeopleInBurst -> NumberCodeBursts; 6
TotalBurstSizeLate -> NumberOfChangesLate; 6
TotalBurstSizeLate -> TotalBurstSize; 6
NumberCodeBursts -> MaximumCodeBurst; 6
NumberCodeBurstsLate -> TotalBurstSizeLate; 6
MaximumCodeBurstEarly -> NumberConsecutiveChangesLate; 6
NumberCodeBurstsEarly -> TotalBurstSizeEarly; 6
TimeFirstBurst -> NumberCodeBurstsEarly; 6
TimeMaxBurst -> NumberConsecutiveChangesLate; 6
NumberCodeBurstsLate -> MaximumCodeBurstEarly; 5
MaximumCodeBurst -> TotalPeopleInBurst; 5
TotalPeopleInBurst -> NumberCodeBurstsEarly; 5
TotalPeopleInBurst -> TotalBurstSizeEarly; 5
TotalBurstSizeLate -> MaxChurnInBurst; 5
NumberCodeBurstsLate -> NumberConsecutiveChangesLate; 5
TotalBurstSize -> MaximumCodeBurst; 5
TotalBurstSizeLate -> NumberCodeBurstsLate; 4
NumberCodeBurstsLate -> MaxChurnInBurst; 4
TotalBurstSize -> TotalChurnInBurst; 4
TimeLastBurst -> TotalBurstSizeLate; 4
TimeLastBurst -> NumberCodeBurstsLate; 4
MaximumCodeBurst -> TotalBurstSize; 4
NumberCodeBursts -> TotalChurnInBurst; 4
TotalPeopleInBurst -> TimeLastBurst; 4
MaximumCodeBurst -> NumberCodeBursts; 4
TotalBurstSizeEarly -> NumberCodeBurstsLate; 4
NumberCodeBurstsLate -> NumberOfChangesLate; 4
NumberCodeBurstsEarly -> TotalBurstSizeLate; 4
NumberCodeBurstsEarly -> TotalBurstSize; 4
MaxPeopleInBurst -> NumberCodeBurstsLate; 4
TotalPeopleInBurst -> MaximumCodeBurst; 3
MaximumCodeBurstEarly -> TimeFirstBurst; 3
MaximumCodeBurstEarly -> TimeLastBurst; 3
TimeFirstBurst -> TimeMaxBurst; 3
MaximumCodeBurst -> NumberCodeBurstsEarly; 3
TotalBurstSizeEarly -> NumberCodeBurstsEarly; 3
TotalBurstSize -> TotalBurstSizeEarly; 3
TimeLastBurst -> NumberConsecutiveChangesLate; 3
MaximumCodeBurstLate -> MaximumCodeBurst; 3
MaxPeopleInBurst -> TotalPeopleInBurst; 3
NumberCodeBurstsLate -> TotalBurstSizeEarly; 3
NumberCodeBurstsLate -> TimeMaxBurst; 3
NumberCodeBurstsEarly -> NumberCodeBursts; 3
NumberConsecutiveChangesLate -> NumberCodeBurstsLate; 3
