Format:
Edge; Number of graphs this edge appears in
NumberOfChanges -> pre; 10
NumberOfChangesLate -> NumberOfChanges; 10
NumberOfChangesEarly -> NumberOfChanges; 10
NumberOfChangesEarly -> PeopleTotal; 10
MaximumCodeBurstEarly -> MaxChurnInBurst; 10
TotalChurnInBurst -> MaxChurnInBurst; 10
NumberOfConsecutiveChangesEarly -> NumberConsecutiveChanges; 10
TotalBurstSizeEarly -> NumberOfConsecutiveChangesEarly; 10
NumberConsecutiveChanges -> pre; 10
NumberConsecutiveChanges -> NumberOfDefects; 10
TimeLastBurst -> MaximumCodeBurstEarly; 10
pre -> NumberOfDefects; 10
TLOC -> pre; 10
NumberOfChanges -> PeopleTotal; 9
MaximumCodeBurstEarly -> NumberConsecutiveChanges; 9
TimeFirstBurst -> MaximumCodeBurstEarly; 9
TimeFirstBurst -> NumberOfConsecutiveChangesEarly; 9
ChurnTotal -> PeopleTotal; 9
NumberOfConsecutiveChangesEarly -> NumberOfChangesEarly; 9
NumberCodeBurstsLate -> NumberOfChangesLate; 9
TotalChurnInBurst -> ChurnTotal; 9
ChurnTotal -> TLOC; 9
NumberConsecutiveChangesLate -> NumberOfChangesLate; 9
TimeLastBurst -> NumberConsecutiveChangesLate; 9
NumberCodeBursts -> TotalChurnInBurst; 9
MaxPeopleInBurst -> TotalPeopleInBurst; 8
TotalBurstSizeLate -> NumberCodeBurstsLate; 8
TimeLastBurst -> TimeMaxBurst; 8
MaximumCodeBurstEarly -> TotalChurnInBurst; 8
NumberConsecutiveChanges -> TotalChurnInBurst; 8
MaxPeopleInBurst -> TotalBurstSize; 7
NumberCodeBurstsLate -> NumberCodeBurstsEarly; 7
NumberOfChangesEarly -> ChurnTotal; 7
NumberOfChangesEarly -> TLOC; 7
NumberOfConsecutiveChangesEarly -> NumberConsecutiveChangesLate; 7
MaxPeopleInBurst -> MaximumCodeBurst; 6
TotalBurstSizeEarly -> MaxPeopleInBurst; 6
TotalBurstSizeEarly -> NumberOfChangesEarly; 6
TotalBurstSizeEarly -> NumberCodeBurstsEarly; 6
TotalBurstSize -> MaximumCodeBurst; 6
TotalPeopleInBurst -> NumberCodeBursts; 6
TotalBurstSize -> NumberCodeBursts; 6
TimeMaxBurst -> TimeFirstBurst; 6
NumberConsecutiveChanges -> NumberOfChangesLate; 6
NumberConsecutiveChanges -> NumberConsecutiveChangesLate; 6
NumberCodeBursts -> NumberConsecutiveChanges; 6
NumberCodeBurstsLate -> MaximumCodeBurstEarly; 6
MaximumCodeBurst -> TotalPeopleInBurst; 6
TotalBurstSizeEarly -> TimeFirstBurst; 6
NumberCodeBurstsEarly -> MaxPeopleInBurst; 5
NumberCodeBursts -> MaximumCodeBurst; 5
MaxPeopleInBurst -> NumberCodeBursts; 5
NumberCodeBurstsLate -> TotalBurstSizeEarly; 5
NumberCodeBursts -> TLOC; 5
NumberCodeBurstsLate -> TimeLastBurst; 5
NumberCodeBurstsEarly -> MaximumCodeBurst; 5
MaximumCodeBurst -> NumberCodeBursts; 5
TotalBurstSizeEarly -> MaximumCodeBurst; 5
NumberCodeBursts -> TimeLastBurst; 5
TotalBurstSize -> TotalPeopleInBurst; 5
TotalBurstSizeLate -> NumberCodeBurstsEarly; 4
TimeFirstBurst -> TimeMaxBurst; 4
NumberConsecutiveChangesLate -> NumberConsecutiveChanges; 4
NumberCodeBursts -> MaxPeopleInBurst; 4
NumberCodeBursts -> TotalBurstSize; 4
NumberCodeBurstsLate -> MaxPeopleInBurst; 4
NumberCodeBurstsEarly -> TotalBurstSizeEarly; 4
MaximumCodeBurst -> MaxPeopleInBurst; 4
MaximumCodeBurst -> TotalBurstSize; 4
NumberCodeBurstsEarly -> TotalBurstSize; 4
TotalBurstSizeEarly -> TotalBurstSize; 4
TotalBurstSizeEarly -> TimeMaxBurst; 4
TotalBurstSizeLate -> MaximumCodeBurstEarly; 3
TotalBurstSizeLate -> TimeLastBurst; 3
NumberCodeBurstsLate -> NumberCodeBursts; 3
NumberConsecutiveChangesLate -> NumberOfConsecutiveChangesEarly; 3
NumberCodeBursts -> TotalPeopleInBurst; 3
NumberCodeBurstsLate -> TimeFirstBurst; 3
ChurnTotal -> NumberOfChangesEarly; 3
NumberConsecutiveChanges -> ChurnTotal; 3
NumberConsecutiveChanges -> TLOC; 3
TLOC -> NumberOfChangesEarly; 3
NumberCodeBurstsLate -> TimeMaxBurst; 3
NumberCodeBurstsEarly -> TimeLastBurst; 3
TotalBurstSizeEarly -> TotalBurstSizeLate; 3
TotalBurstSize -> MaxPeopleInBurst; 3
TotalPeopleInBurst -> TotalBurstSize; 2
TotalBurstSizeLate -> TotalBurstSizeEarly; 2
NumberCodeBurstsEarly -> NumberCodeBursts; 2
TimeFirstBurst -> TotalBurstSizeEarly; 2
TotalBurstSizeEarly -> NumberCodeBursts; 2
TimeLastBurst -> TimeFirstBurst; 2
NumberCodeBurstsLate -> TotalBurstSizeLate; 2
NumberCodeBurstsLate -> NumberConsecutiveChangesLate; 2
TimeMaxBurst -> TimeLastBurst; 2
NumberCodeBursts -> TimeMaxBurst; 2
ChurnTotal -> NumberOfChangesLate; 2
TotalBurstSizeLate -> TimeMaxBurst; 2
NumberCodeBurstsEarly -> NumberCodeBurstsLate; 2
TotalBurstSizeEarly -> NumberCodeBurstsLate; 2
TotalBurstSizeEarly -> TimeLastBurst; 2
NumberCodeBurstsLate -> TotalBurstSize; 2
NumberCodeBurstsLate -> TotalChurnInBurst; 1
NumberOfChangesLate -> TotalBurstSizeLate; 1
NumberOfChangesLate -> NumberConsecutiveChangesLate; 1
NumberOfChangesLate -> TLOC; 1
MaximumCodeBurstEarly -> ChurnTotal; 1
NumberCodeBurstsEarly -> TotalChurnInBurst; 1
ChurnTotal -> TotalChurnInBurst; 1
NumberConsecutiveChangesLate -> TotalBurstSizeLate; 1
NumberConsecutiveChangesLate -> TimeLastBurst; 1
TimeLastBurst -> TotalBurstSizeEarly; 1
TLOC -> ChurnTotal; 1
NumberOfChangesEarly -> NumberOfConsecutiveChangesEarly; 1
MaximumCodeBurstEarly -> NumberCodeBurstsLate; 1
MaximumCodeBurstEarly -> TotalBurstSizeEarly; 1
NumberCodeBurstsEarly -> TotalPeopleInBurst; 1
TimeFirstBurst -> NumberOfChangesEarly; 1
TotalBurstSizeEarly -> TotalPeopleInBurst; 1
TimeMaxBurst -> NumberCodeBurstsLate; 1
TimeLastBurst -> NumberCodeBurstsLate; 1
NumberCodeBurstsLate -> MaximumCodeBurst; 1
NumberOfChangesLate -> PeopleTotal; 1
TimeFirstBurst -> NumberConsecutiveChanges; 1
TotalBurstSizeEarly -> TotalChurnInBurst; 1
MaxPeopleInBurst -> NumberCodeBurstsEarly; 1
TotalBurstSizeLate -> MaxPeopleInBurst; 1
TotalPeopleInBurst -> MaximumCodeBurst; 1
MaxPeopleInBurst -> TLOC; 1
TotalBurstSizeLate -> MaximumCodeBurst; 1
TotalBurstSizeLate -> NumberConsecutiveChangesLate; 1
NumberCodeBurstsEarly -> TotalBurstSizeLate; 1
NumberCodeBurstsEarly -> NumberOfChangesEarly; 1
NumberCodeBurstsEarly -> TimeMaxBurst; 1
MaximumCodeBurst -> NumberCodeBurstsLate; 1
NumberOfConsecutiveChangesEarly -> TimeFirstBurst; 1
TimeMaxBurst -> NumberOfConsecutiveChangesEarly; 1
TimeLastBurst -> TotalBurstSizeLate; 1
NumberCodeBursts -> NumberCodeBurstsLate; 1
NumberOfConsecutiveChangesEarly -> TotalChurnInBurst; 1
TotalBurstSizeLate -> TotalBurstSize; 1
TotalBurstSizeLate -> NumberCodeBursts; 1
MaximumCodeBurstEarly -> TimeFirstBurst; 1
TimeFirstBurst -> NumberCodeBurstsEarly; 1
TotalBurstSize -> TotalBurstSizeEarly; 1
NumberCodeBursts -> NumberCodeBurstsEarly; 1
NumberCodeBursts -> TotalBurstSizeEarly; 1
