Format:
Edge; Number of graphs this edge appears in
NumberOfChangesLate -> PeopleTotal; 10
NumberOfChangesLate -> TLOC; 10
NumberOfChangesEarly -> MaximumCodeBurstEarly; 10
NumberOfChangesEarly -> TimeFirstBurst; 10
NumberOfChangesEarly -> TimeMaxBurst; 10
NumberOfChangesEarly -> PeopleTotal; 10
NumberOfChangesEarly -> pre; 10
NumberOfChangesEarly -> TLOC; 10
TotalChurnInBurst -> MaxChurnInBurst; 10
ChurnTotal -> TotalChurnInBurst; 10
NumberOfConsecutiveChangesEarly -> MaximumCodeBurstEarly; 10
NumberConsecutiveChangesLate -> TimeMaxBurst; 10
TimeMaxBurst -> TimeFirstBurst; 10
pre -> NumberOfDefects; 10
BurstSize -> MaximumCodeBurstEarly; 10
NumberOfChangesLate -> MaximumCodeBurstLate; 9
NumberOfChangesLate -> NumberConsecutiveChangesLate; 9
NumberOfChangesLate -> pre; 9
ChurnTotal -> PeopleTotal; 9
ChurnTotal -> TLOC; 9
NumberConsecutiveChangesLate -> MaximumCodeBurstLate; 9
NumberConsecutiveChangesLate -> NumberConsecutiveChanges; 9
TimeMaxBurst -> TimeLastBurst; 9
NumberConsecutiveChanges -> NumberOfDefects; 9
GapSize -> NumberConsecutiveChangesLate; 9
BurstSize -> MaximumCodeBurstLate; 9
NumberOfChangesLate -> ChurnTotal; 8
NumberOfChangesEarly -> NumberOfChanges; 8
NumberOfChangesEarly -> ChurnTotal; 8
TotalChurnInBurst -> TimeMaxBurst; 8
NumberOfConsecutiveChangesEarly -> NumberConsecutiveChanges; 8
BurstSize -> MaxChurnInBurst; 8
NumberCodeBurstsLate -> TimeLastBurst; 7
NumberOfChangesEarly -> MaxChurnInBurst; 7
NumberOfChangesEarly -> NumberOfConsecutiveChangesEarly; 7
NumberOfChangesEarly -> NumberConsecutiveChangesLate; 7
TLOC -> NumberOfDefects; 7
BurstSize -> TotalChurnInBurst; 7
TotalBurstSizeLate -> NumberCodeBurstsLate; 7
MaximumCodeBurst -> NumberCodeBursts; 7
NumberOfChanges -> NumberOfChangesLate; 6
NumberOfChangesEarly -> NumberOfChangesLate; 6
NumberOfChangesEarly -> GapSize; 6
TotalBurstSizeEarly -> NumberCodeBurstsEarly; 6
TotalPeopleInBurst -> NumberCodeBursts; 6
MaximumCodeBurst -> MaxPeopleInBurst; 6
TotalBurstSizeEarly -> BurstSize; 6
TotalBurstSize -> NumberCodeBursts; 6
NumberConsecutiveChanges -> ChurnTotal; 6
NumberCodeBursts -> MaxPeopleInBurst; 6
NumberOfChangesLate -> TotalBurstSizeLate; 6
NumberConsecutiveChangesLate -> TotalBurstSizeLate; 6
BurstSize -> TotalBurstSizeLate; 6
NumberOfConsecutiveChangesEarly -> GapSize; 5
TotalBurstSize -> MaximumCodeBurst; 5
TotalBurstSizeEarly -> MaximumCodeBurst; 5
TotalBurstSize -> MaxPeopleInBurst; 5
NumberConsecutiveChanges -> BurstSize; 5
BurstSize -> TimeFirstBurst; 5
NumberCodeBurstsEarly -> TotalBurstSize; 5
MaximumCodeBurst -> TotalBurstSize; 5
TotalBurstSize -> TotalPeopleInBurst; 5
TotalBurstSize -> NumberCodeBurstsLate; 5
TotalPeopleInBurst -> TotalBurstSize; 4
MaxPeopleInBurst -> MaximumCodeBurst; 4
MaxPeopleInBurst -> TotalBurstSize; 4
MaxPeopleInBurst -> NumberCodeBursts; 4
NumberOfChangesEarly -> TotalBurstSizeEarly; 4
MaximumCodeBurstEarly -> TimeFirstBurst; 4
TotalBurstSizeEarly -> MaxPeopleInBurst; 4
NumberCodeBursts -> TotalBurstSize; 4
TLOC -> pre; 4
NumberOfChangesLate -> NumberOfChanges; 4
MaximumCodeBurstEarly -> TimeLastBurst; 4
NumberCodeBurstsEarly -> MaximumCodeBurst; 4
NumberCodeBursts -> TotalChurnInBurst; 4
NumberOfChangesEarly -> BurstSize; 4
NumberCodeBurstsEarly -> TotalBurstSizeEarly; 4
MaximumCodeBurst -> TotalPeopleInBurst; 4
TotalBurstSizeEarly -> TotalBurstSize; 4
NumberOfChangesLate -> NumberConsecutiveChanges; 4
TotalPeopleInBurst -> MaxPeopleInBurst; 3
NumberCodeBurstsLate -> TotalBurstSizeLate; 3
NumberOfChangesLate -> NumberCodeBurstsLate; 3
MaxChurnInBurst -> TimeLastBurst; 3
NumberCodeBurstsEarly -> MaxPeopleInBurst; 3
NumberCodeBursts -> MaximumCodeBurst; 3
BurstSize -> NumberCodeBurstsLate; 3
TimeFirstBurst -> MaxChurnInBurst; 3
NumberOfConsecutiveChangesEarly -> NumberOfChangesEarly; 3
TotalBurstSizeEarly -> GapSize; 3
PeopleTotal -> pre; 3
NumberOfConsecutiveChangesEarly -> NumberOfChangesLate; 3
NumberOfConsecutiveChangesEarly -> BurstSize; 3
TotalBurstSizeEarly -> TotalPeopleInBurst; 3
BurstSize -> MaximumCodeBurst; 3
NumberCodeBursts -> NumberCodeBurstsLate; 3
NumberOfChangesEarly -> NumberCodeBurstsEarly; 3
GapSize -> NumberOfConsecutiveChangesEarly; 3
BurstSize -> TimeLastBurst; 3
NumberConsecutiveChangesLate -> NumberOfConsecutiveChangesEarly; 3
NumberOfChangesLate -> NumberOfConsecutiveChangesEarly; 2
NumberCodeBurstsEarly -> TotalPeopleInBurst; 2
NumberCodeBurstsEarly -> NumberCodeBursts; 2
NumberConsecutiveChangesLate -> NumberCodeBurstsLate; 2
TotalBurstSizeEarly -> NumberCodeBursts; 2
BurstSize -> TotalBurstSizeEarly; 2
NumberCodeBurstsLate -> GapSize; 2
NumberCodeBurstsEarly -> NumberOfConsecutiveChangesEarly; 2
NumberConsecutiveChangesLate -> NumberOfChangesEarly; 2
TotalBurstSizeEarly -> NumberConsecutiveChanges; 2
TotalBurstSize -> NumberCodeBurstsEarly; 2
TotalBurstSize -> TotalBurstSizeEarly; 2
NumberConsecutiveChanges -> TotalChurnInBurst; 2
NumberConsecutiveChanges -> NumberOfConsecutiveChangesEarly; 2
TimeLastBurst -> MaxChurnInBurst; 2
GapSize -> NumberOfChangesEarly; 2
NumberOfConsecutiveChangesEarly -> ChurnTotal; 2
TotalBurstSizeEarly -> NumberOfChangesEarly; 2
TotalBurstSize -> TotalBurstSizeLate; 2
TotalChurnInBurst -> BurstSize; 2
ChurnTotal -> NumberOfChangesEarly; 2
NumberOfConsecutiveChangesEarly -> pre; 2
NumberCodeBursts -> NumberCodeBurstsEarly; 2
NumberCodeBursts -> TotalBurstSizeEarly; 2
NumberCodeBursts -> BurstSize; 2
NumberConsecutiveChangesLate -> TimeLastBurst; 2
NumberCodeBursts -> NumberOfChanges; 2
NumberCodeBursts -> NumberOfChangesEarly; 2
MaxPeopleInBurst -> TotalPeopleInBurst; 2
ChurnTotal -> NumberOfDefects; 2
NumberCodeBursts -> TotalPeopleInBurst; 2
NumberOfChanges -> NumberOfChangesEarly; 2
NumberOfConsecutiveChangesEarly -> NumberCodeBurstsEarly; 2
NumberConsecutiveChangesLate -> NumberCodeBurstsEarly; 2
TotalBurstSize -> TotalChurnInBurst; 2
TotalPeopleInBurst -> TotalBurstSizeLate; 1
MaxPeopleInBurst -> TotalBurstSizeLate; 1
MaxPeopleInBurst -> TotalChurnInBurst; 1
ChurnTotal -> NumberOfConsecutiveChangesEarly; 1
ChurnTotal -> NumberConsecutiveChanges; 1
ChurnTotal -> GapSize; 1
NumberConsecutiveChangesLate -> TotalPeopleInBurst; 1
NumberConsecutiveChanges -> TotalBurstSizeEarly; 1
